epoch,training_loss
1,0.27775563557942706
2,0.21253777398003473
3,0.20311937120225695
4,0.11975601196289062
5,0.040251104566786024
6,0.026320406595865885
7,0.02101615269978841
8,0.018346663581000434
9,0.017305381562974717
10,0.016248252656724717
11,0.015116106669108073
12,0.01462479485405816
13,0.014577896330091688
14,0.013686754438612196
15,0.013049967024061415
16,0.013244724273681641
17,0.01246050304836697
18,0.012527457343207465
19,0.012101188235812717
20,0.011830615997314452
21,0.011544401380750868
22,0.011650964948866102
23,0.011262572606404623
24,0.01131692992316352
25,0.011313963996039497
26,0.011312840779622396
27,0.01062877337137858
28,0.010989335378011068
29,0.010589332580566406
30,0.010411578284369574
31,0.010292739868164062
32,0.010142665439181858
33,0.01077402114868164
34,0.010646603902180989
35,0.010161724090576172
36,0.009893262651231555
37,0.009934158325195312
38,0.010162823994954428
39,0.010844339794582792
40,0.009752911461724176
41,0.010118945439656576
42,0.009626013437906901
43,0.009470500946044923
44,0.009816432529025608
45,0.009846481747097438
46,0.009422170850965712
47,0.00994575924343533
48,0.009410021040174696
49,0.009661731719970703
50,0.009334233601888021
51,0.009245137108696832
52,0.009258236355251736
53,0.009152163399590386
54,0.009073630438910591
55,0.009442921744452583
56,0.009282042185465494
57,0.009131046930948893
58,0.009403034845987956
59,0.009355712466769748
60,0.00917830679151747
61,0.009427416059705946
62,0.00949761708577474
63,0.00981840451558431
64,0.009057593875461154
65,0.009335683186848959
66,0.008848132027520075
67,0.008913936614990235
68,0.008829004499647353
69,0.00895486937628852
70,0.009284823735555014
71,0.008910863664415148
72,0.00895080354478624
73,0.00939271608988444
74,0.008920708762274849
75,0.008897009955512153
76,0.00871635013156467
77,0.009348775015936957
78,0.008785320917765299
79,0.008756182458665636
80,0.008826828002929688
81,0.008626404338412814
82,0.008869841893513997
83,0.008806536992390951
84,0.00872405317094591
85,0.009129742516411675
86,0.008897724151611329
87,0.00854129261440701
88,0.008963363435533311
89,0.00860851181877984
90,0.008716971079508463
91,0.008631827036539714
92,0.008963114420572916
93,0.008542382982042102
94,0.008647640016343858
95,0.008356890148586697
96,0.00855965084499783
97,0.008428577846950955
98,0.00844377040863037
99,0.008385664621988932
100,0.008958392673068576
