epoch,training_loss
1,0.21901227523905212
2,0.07440647370535096
3,0.03132801521115187
4,0.02235943990906168
5,0.018257174946516422
6,0.016126128363767908
7,0.014636207842773979
8,0.013362607511871405
9,0.012926071023200938
10,0.012571095891643786
11,0.011695052990627923
12,0.011203338724546581
13,0.010804780042356504
14,0.0108216067904115
15,0.010512231458845793
16,0.010629245817264802
17,0.01025266922233903
18,0.010296941067849981
19,0.01006553865589218
20,0.009707972109978586
21,0.009722677937103744
22,0.009806650969511653
23,0.009652463401236185
24,0.009376584029779202
25,0.009409449845882847
26,0.009387160087636199
27,0.009286679608330229
28,0.00957800067977736
29,0.009515241085822196
30,0.00917550465484416
31,0.009085040927726254
32,0.009264446943667935
33,0.008967621627773785
34,0.008909671639656017
35,0.008926687642370253
36,0.008826467784703968
37,0.00892618648757427
38,0.008994655439964683
39,0.008660862556846602
40,0.008729583672567905
41,0.008957416678215077
42,0.008918289599027443
43,0.008762217413824044
44,0.008615182402921622
45,0.009009122319866442
46,0.008663444984249952
47,0.00856067283190539
48,0.008697952240903731
49,0.008678823246924153
50,0.008660672773543059
51,0.008729483230150988
52,0.008660532154159377
53,0.008820381502883133
54,0.008738223306355614
55,0.008665208012988986
56,0.00856010929708206
57,0.00858907530418785
58,0.00860433620782755
59,0.008532190005689397
60,0.00896839556302834
61,0.008505518843487995
62,0.00857882806308518
63,0.0083898112937775
64,0.008515103164639019
65,0.008587048481943338
66,0.008309731197991551
67,0.008448843416776467
68,0.008554456503586863
69,0.008583485419364304
70,0.008357041162292075
71,0.008274094228469612
72,0.008277413057382249
73,0.008533838318615424
74,0.008568124073307688
75,0.008510385014265445
76,0.008394226530967424
77,0.008397481393919815
78,0.008436628561590833
79,0.008449372589720327
80,0.008342062026064042
81,0.008158270905657513
82,0.008321699704933589
83,0.008505553734011767
84,0.008505648889985687
85,0.008272364504321452
86,0.008287992287105044
87,0.008349466218123679
88,0.008331699011859766
89,0.008291274110916713
90,0.008299760966501849
91,0.008207470244684663
92,0.008272131900829646
93,0.008333878612306852
94,0.008688890748964973
95,0.008153477687793401
96,0.008401388603937864
97,0.008197003087553376
98,0.008407938506809412
99,0.008242633548914196
100,0.008089759133078835
